strain,seqid,source,type,start,end,length,strand,score,phase,gene_id,name,product,locus_tag,gene_biotype,attributes
CDC1551,NC_002755.2,RefSeq,gene,7302,9818,2517,+,,,gene-MT_RS00030,gyrA,,MT_RS00030,protein_coding,ID=gene-MT_RS00030;Name=gyrA;gbkey=Gene;gene=gyrA;gene_biotype=protein_coding;locus_tag=MT_RS00030;old_locus_tag=MT0006
CDC1551,NC_002755.2,Protein Homology,CDS,7302,9818,2517,+,,0,cds-WP_003400286.1,WP_003400286.1,DNA topoisomerase (ATP-hydrolyzing) subunit A,MT_RS00030,protein_coding,"ID=cds-WP_003400286.1;Parent=gene-MT_RS00030;Dbxref=GenBank:WP_003400286.1;Name=WP_003400286.1;Ontology_term=GO:0006265,GO:0003916,GO:0003918,GO:0009330;gbkey=CDS;gene=gyrA;go_component=DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) complex|0009330||IEA;go_function=DNA topoisomerase activity|0003916||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214520.1;locus_tag=MT_RS00030;product=DNA topoisomerase (ATP-hydrolyzing) subunit A;protein_id=WP_003400286.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,9914,10828,915,+,,,gene-MT_RS00035,MT_RS00035,,MT_RS00035,protein_coding,ID=gene-MT_RS00035;Name=MT_RS00035;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00035;old_locus_tag=MT0007
CDC1551,NC_002755.2,Protein Homology,CDS,9914,10828,915,+,,0,cds-WP_003400291.1,WP_003400291.1,DUF3566 domain-containing protein,MT_RS00035,protein_coding,ID=cds-WP_003400291.1;Parent=gene-MT_RS00035;Dbxref=GenBank:WP_003400291.1;Name=WP_003400291.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214521.1;locus_tag=MT_RS00035;product=DUF3566 domain-containing protein;protein_id=WP_003400291.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,10887,10960,74,+,,,gene-MT_RS00040,MT_RS00040,,MT_RS00040,tRNA,ID=gene-MT_RS00040;Name=MT_RS00040;gbkey=Gene;gene_biotype=tRNA;locus_tag=MT_RS00040;old_locus_tag=MTt01
CDC1551,NC_002755.2,tRNAscan-SE,tRNA,10887,10960,74,+,,,rna-MT_RS00040,,tRNA-Ile,MT_RS00040,protein_coding,ID=rna-MT_RS00040;Parent=gene-MT_RS00040;anticodon=(pos:10921..10923);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MT_RS00040;product=tRNA-Ile
CDC1551,NC_002755.2,RefSeq,gene,11112,11184,73,+,,,gene-MT_RS00045,MT_RS00045,,MT_RS00045,tRNA,ID=gene-MT_RS00045;Name=MT_RS00045;gbkey=Gene;gene_biotype=tRNA;locus_tag=MT_RS00045;old_locus_tag=MTt02
CDC1551,NC_002755.2,tRNAscan-SE,tRNA,11112,11184,73,+,,,rna-MT_RS00045,,tRNA-Ala,MT_RS00045,protein_coding,ID=rna-MT_RS00045;Parent=gene-MT_RS00045;anticodon=(pos:11145..11147);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MT_RS00045;product=tRNA-Ala
CDC1551,NC_002755.2,RefSeq,gene,11225,11416,192,+,,,gene-MT_RS22775,MT_RS22775,,MT_RS22775,protein_coding,ID=gene-MT_RS22775;Name=MT_RS22775;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS22775
CDC1551,NC_002755.2,Protein Homology,CDS,11225,11416,192,+,,0,cds-WP_015626284.1,WP_015626284.1,hypothetical protein,MT_RS22775,protein_coding,ID=cds-WP_015626284.1;Parent=gene-MT_RS22775;Dbxref=GenBank:WP_015626284.1;Name=WP_015626284.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003400294.1;locus_tag=MT_RS22775;product=hypothetical protein;protein_id=WP_015626284.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,11555,11692,138,-,,,gene-MT_RS22265,MT_RS22265,,MT_RS22265,protein_coding,ID=gene-MT_RS22265;Name=MT_RS22265;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS22265;old_locus_tag=MT0009
CDC1551,NC_002755.2,GeneMarkS-2+,CDS,11555,11692,138,-,,0,cds-WP_003400297.1,WP_003400297.1,hypothetical protein,MT_RS22265,protein_coding,ID=cds-WP_003400297.1;Parent=gene-MT_RS22265;Dbxref=GenBank:WP_003400297.1;Name=WP_003400297.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MT_RS22265;product=hypothetical protein;protein_id=WP_003400297.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,11874,12311,438,-,,,gene-MT_RS00055,cwsA,,MT_RS00055,protein_coding,ID=gene-MT_RS00055;Name=cwsA;gbkey=Gene;gene=cwsA;gene_biotype=protein_coding;locus_tag=MT_RS00055;old_locus_tag=MT0010
CDC1551,NC_002755.2,Protein Homology,CDS,11874,12311,438,-,,0,cds-WP_003400307.1,WP_003400307.1,cell wall synthesis protein CwsA,MT_RS00055,protein_coding,ID=cds-WP_003400307.1;Parent=gene-MT_RS00055;Dbxref=GenBank:WP_003400307.1;Name=WP_003400307.1;gbkey=CDS;gene=cwsA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003400307.1;locus_tag=MT_RS00055;product=cell wall synthesis protein CwsA;protein_id=WP_003400307.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,12468,13016,549,+,,,gene-MT_RS00060,ppiA,,MT_RS00060,protein_coding,ID=gene-MT_RS00060;Name=ppiA;gbkey=Gene;gene=ppiA;gene_biotype=protein_coding;locus_tag=MT_RS00060;old_locus_tag=MT0011
CDC1551,NC_002755.2,Protein Homology,CDS,12468,13016,549,+,,0,cds-WP_003400321.1,WP_003400321.1,peptidylprolyl isomerase PpiA,MT_RS00060,protein_coding,ID=cds-WP_003400321.1;Parent=gene-MT_RS00060;Dbxref=GenBank:WP_003400321.1;Name=WP_003400321.1;gbkey=CDS;gene=ppiA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003400321.1;locus_tag=MT_RS00060;product=peptidylprolyl isomerase PpiA;protein_id=WP_003400321.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,13133,13558,426,-,,,gene-MT_RS00065,MT_RS00065,,MT_RS00065,protein_coding,ID=gene-MT_RS00065;Name=MT_RS00065;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00065;old_locus_tag=MT0013
CDC1551,NC_002755.2,Protein Homology,CDS,13133,13558,426,-,,0,cds-WP_003899772.1,WP_003899772.1,PH domain-containing protein,MT_RS00065,protein_coding,ID=cds-WP_003899772.1;Parent=gene-MT_RS00065;Dbxref=GenBank:WP_003899772.1;Name=WP_003899772.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214524.1;locus_tag=MT_RS00065;product=PH domain-containing protein;protein_id=WP_003899772.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,13714,13995,282,-,,,gene-MT_RS00070,crgA,,MT_RS00070,protein_coding,ID=gene-MT_RS00070;Name=crgA;gbkey=Gene;gene=crgA;gene_biotype=protein_coding;locus_tag=MT_RS00070;old_locus_tag=MT0014
CDC1551,NC_002755.2,Protein Homology,CDS,13714,13995,282,-,,0,cds-WP_003400344.1,WP_003400344.1,cell division protein CrgA,MT_RS00070,protein_coding,ID=cds-WP_003400344.1;Parent=gene-MT_RS00070;Dbxref=GenBank:WP_003400344.1;Name=WP_003400344.1;gbkey=CDS;gene=crgA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214525.1;locus_tag=MT_RS00070;product=cell division protein CrgA;protein_id=WP_003400344.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,14134,14877,744,+,,,gene-MT_RS00075,MT_RS00075,,MT_RS00075,protein_coding,ID=gene-MT_RS00075;Name=MT_RS00075;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00075;old_locus_tag=MT0015
CDC1551,NC_002755.2,Protein Homology,CDS,14134,14877,744,+,,0,cds-WP_003917864.1,WP_003917864.1,DUF881 domain-containing protein,MT_RS00075,protein_coding,ID=cds-WP_003917864.1;Parent=gene-MT_RS00075;Dbxref=GenBank:WP_003917864.1;Name=WP_003917864.1;Ontology_term=GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008262548.1;locus_tag=MT_RS00075;product=DUF881 domain-containing protein;protein_id=WP_003917864.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,14914,15612,699,+,,,gene-MT_RS00080,trpG,,MT_RS00080,protein_coding,ID=gene-MT_RS00080;Name=trpG;gbkey=Gene;gene=trpG;gene_biotype=protein_coding;locus_tag=MT_RS00080;old_locus_tag=MT0016
CDC1551,NC_002755.2,Protein Homology,CDS,14914,15612,699,+,,0,cds-WP_003899773.1,WP_003899773.1,aminodeoxychorismate/anthranilate synthase component II,MT_RS00080,protein_coding,ID=cds-WP_003899773.1;Parent=gene-MT_RS00080;Dbxref=GenBank:WP_003899773.1;Name=WP_003899773.1;gbkey=CDS;gene=trpG;inference=COORDINATES: similar to AA sequence:RefSeq:YP_177615.1;locus_tag=MT_RS00080;product=aminodeoxychorismate/anthranilate synthase component II;protein_id=WP_003899773.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,15590,17470,1881,-,,,gene-MT_RS00085,pknB,,MT_RS00085,protein_coding,ID=gene-MT_RS00085;Name=pknB;gbkey=Gene;gene=pknB;gene_biotype=protein_coding;locus_tag=MT_RS00085;old_locus_tag=MT0017
CDC1551,NC_002755.2,Protein Homology,CDS,15590,17470,1881,-,,0,cds-WP_003400356.1,WP_003400356.1,Stk1 family PASTA domain-containing Ser/Thr kinase,MT_RS00085,protein_coding,"ID=cds-WP_003400356.1;Parent=gene-MT_RS00085;Dbxref=GenBank:WP_003400356.1;Name=WP_003400356.1;Ontology_term=GO:0006468,GO:0004672,GO:0005524;gbkey=CDS;gene=pknB;go_function=protein kinase activity|0004672||IEA,ATP binding|0005524||IEA;go_process=protein phosphorylation|0006468||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214528.1;locus_tag=MT_RS00085;product=Stk1 family PASTA domain-containing Ser/Thr kinase;protein_id=WP_003400356.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,17467,18762,1296,-,,,gene-MT_RS00090,pknA,,MT_RS00090,protein_coding,ID=gene-MT_RS00090;Name=pknA;gbkey=Gene;gene=pknA;gene_biotype=protein_coding;locus_tag=MT_RS00090;old_locus_tag=MT0018
CDC1551,NC_002755.2,Protein Homology,CDS,17467,18762,1296,-,,0,cds-WP_003400358.1,WP_003400358.1,serine/threonine protein kinase PknA,MT_RS00090,protein_coding,ID=cds-WP_003400358.1;Parent=gene-MT_RS00090;Dbxref=GenBank:WP_003400358.1;Name=WP_003400358.1;gbkey=CDS;gene=pknA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214529.1;locus_tag=MT_RS00090;product=serine/threonine protein kinase PknA;protein_id=WP_003400358.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,18759,20234,1476,-,,,gene-MT_RS00095,pbpA,,MT_RS00095,protein_coding,ID=gene-MT_RS00095;Name=pbpA;gbkey=Gene;gene=pbpA;gene_biotype=protein_coding;locus_tag=MT_RS00095;old_locus_tag=MT0019
CDC1551,NC_002755.2,Protein Homology,CDS,18759,20234,1476,-,,0,cds-WP_003899775.1,WP_003899775.1,D%2CD-transpeptidase PbpA,MT_RS00095,protein_coding,ID=cds-WP_003899775.1;Parent=gene-MT_RS00095;Dbxref=GenBank:WP_003899775.1;Name=WP_003899775.1;gbkey=CDS;gene=pbpA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214530.1;locus_tag=MT_RS00095;product=D%2CD-transpeptidase PbpA;protein_id=WP_003899775.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,20231,21640,1410,-,,,gene-MT_RS00100,rodA,,MT_RS00100,protein_coding,ID=gene-MT_RS00100;Name=rodA;gbkey=Gene;gene=rodA;gene_biotype=protein_coding;locus_tag=MT_RS00100;old_locus_tag=MT0020
CDC1551,NC_002755.2,Protein Homology,CDS,20231,21640,1410,-,,0,cds-WP_003400364.1,WP_003400364.1,cell shape-determining peptidoglycan glycosyltransferase RodA,MT_RS00100,protein_coding,ID=cds-WP_003400364.1;Parent=gene-MT_RS00100;Dbxref=GenBank:WP_003400364.1;Name=WP_003400364.1;gbkey=CDS;gene=rodA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214531.1;locus_tag=MT_RS00100;product=cell shape-determining peptidoglycan glycosyltransferase RodA;protein_id=WP_003400364.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,21637,23172,1536,-,,,gene-MT_RS00105,pstP,,MT_RS00105,protein_coding,ID=gene-MT_RS00105;Name=pstP;gbkey=Gene;gene=pstP;gene_biotype=protein_coding;locus_tag=MT_RS00105;old_locus_tag=MT0021
CDC1551,NC_002755.2,Protein Homology,CDS,21637,23172,1536,-,,0,cds-WP_003912500.1,WP_003912500.1,serine/threonine phosphatase PstP,MT_RS00105,protein_coding,ID=cds-WP_003912500.1;Parent=gene-MT_RS00105;Dbxref=GenBank:WP_003912500.1;Name=WP_003912500.1;gbkey=CDS;gene=pstP;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015385224.1;locus_tag=MT_RS00105;product=serine/threonine phosphatase PstP;protein_id=WP_003912500.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,23270,23737,468,-,,,gene-MT_RS00110,fhaB,,MT_RS00110,protein_coding,ID=gene-MT_RS00110;Name=fhaB;gbkey=Gene;gene=fhaB;gene_biotype=protein_coding;locus_tag=MT_RS00110;old_locus_tag=MT0022
CDC1551,NC_002755.2,Protein Homology,CDS,23270,23737,468,-,,0,cds-WP_003400373.1,WP_003400373.1,FHA domain-containing protein FhaB/FipA,MT_RS00110,protein_coding,ID=cds-WP_003400373.1;Parent=gene-MT_RS00110;Dbxref=GenBank:WP_003400373.1;Name=WP_003400373.1;gbkey=CDS;gene=fhaB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214533.1;locus_tag=MT_RS00110;product=FHA domain-containing protein FhaB/FipA;protein_id=WP_003400373.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,23861,25426,1566,-,,,gene-MT_RS00115,fhaA,,MT_RS00115,protein_coding,ID=gene-MT_RS00115;Name=fhaA;gbkey=Gene;gene=fhaA;gene_biotype=protein_coding;locus_tag=MT_RS00115;old_locus_tag=MT0023
CDC1551,NC_002755.2,Protein Homology,CDS,23861,25426,1566,-,,0,cds-WP_003899777.1,WP_003899777.1,cell division-associated protein FhaA,MT_RS00115,protein_coding,ID=cds-WP_003899777.1;Parent=gene-MT_RS00115;Dbxref=GenBank:WP_003899777.1;Name=WP_003899777.1;gbkey=CDS;gene=fhaA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214534.1;locus_tag=MT_RS00115;product=cell division-associated protein FhaA;protein_id=WP_003899777.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,25626,25708,83,+,,,gene-MT_RS00120,MT_RS00120,,MT_RS00120,tRNA,ID=gene-MT_RS00120;Name=MT_RS00120;gbkey=Gene;gene_biotype=tRNA;locus_tag=MT_RS00120;old_locus_tag=MTt03
CDC1551,NC_002755.2,tRNAscan-SE,tRNA,25626,25708,83,+,,,rna-MT_RS00120,,tRNA-Leu,MT_RS00120,protein_coding,ID=rna-MT_RS00120;Parent=gene-MT_RS00120;anticodon=(pos:25659..25661);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MT_RS00120;product=tRNA-Leu
CDC1551,NC_002755.2,RefSeq,gene,25895,26863,969,-,,,gene-MT_RS00125,MT_RS00125,,MT_RS00125,protein_coding,ID=gene-MT_RS00125;Name=MT_RS00125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00125;old_locus_tag=MT0024
CDC1551,NC_002755.2,Protein Homology,CDS,25895,26863,969,-,,0,cds-WP_003899778.1,WP_003899778.1,NAD(P)H-dependent flavin oxidoreductase,MT_RS00125,protein_coding,"ID=cds-WP_003899778.1;Parent=gene-MT_RS00125;Dbxref=GenBank:WP_003899778.1;Name=WP_003899778.1;Ontology_term=GO:0004497,GO:0010181,GO:0016703;gbkey=CDS;go_function=monooxygenase activity|0004497||IEA,FMN binding|0010181||IEA,oxidoreductase activity%2C acting on single donors with incorporation of molecular oxygen%2C incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)|0016703||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214535.1;locus_tag=MT_RS00125;product=NAD(P)H-dependent flavin oxidoreductase;protein_id=WP_003899778.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,27005,27424,420,-,,,gene-MT_RS00130,whiB5,,MT_RS00130,protein_coding,ID=gene-MT_RS00130;Name=whiB5;gbkey=Gene;gene=whiB5;gene_biotype=protein_coding;locus_tag=MT_RS00130
CDC1551,NC_002755.2,Protein Homology,CDS,27005,27424,420,-,,0,cds-WP_003400388.1,WP_003400388.1,transcriptional regulator WhiB5,MT_RS00130,protein_coding,ID=cds-WP_003400388.1;Parent=gene-MT_RS00130;Dbxref=GenBank:WP_003400388.1;Name=WP_003400388.1;gbkey=CDS;gene=whiB5;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214536.1;locus_tag=MT_RS00130;product=transcriptional regulator WhiB5;protein_id=WP_003400388.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,27577,28347,771,+,,,gene-MT_RS00135,MT_RS00135,,MT_RS00135,protein_coding,ID=gene-MT_RS00135;Name=MT_RS00135;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00135;old_locus_tag=MT0026
CDC1551,NC_002755.2,Protein Homology,CDS,27577,28347,771,+,,0,cds-WP_003400391.1,WP_003400391.1,helix-turn-helix domain-containing protein,MT_RS00135,protein_coding,ID=cds-WP_003400391.1;Parent=gene-MT_RS00135;Dbxref=GenBank:WP_003400391.1;Name=WP_003400391.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214537.1;locus_tag=MT_RS00135;product=helix-turn-helix domain-containing protein;protein_id=WP_003400391.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,28344,29189,846,+,,,gene-MT_RS00140,MT_RS00140,,MT_RS00140,protein_coding,ID=gene-MT_RS00140;Name=MT_RS00140;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00140;old_locus_tag=MT0027
CDC1551,NC_002755.2,Protein Homology,CDS,28344,29189,846,+,,0,cds-WP_003400393.1,WP_003400393.1,C40 family peptidase,MT_RS00140,protein_coding,"ID=cds-WP_003400393.1;Parent=gene-MT_RS00140;Dbxref=GenBank:WP_003400393.1;Name=WP_003400393.1;Ontology_term=GO:0000270,GO:0006508,GO:0008233,GO:0008234,GO:0016787;gbkey=CDS;go_function=peptidase activity|0008233||IEA,cysteine-type peptidase activity|0008234||IEA,hydrolase activity|0016787||IEA;go_process=peptidoglycan metabolic process|0000270||IEA,proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214538.1;locus_tag=MT_RS00140;product=C40 family peptidase;protein_id=WP_003400393.1;transl_table=11"
CDC1551,NC_002755.2,Protein Homology,CDS,29227,29588,362,+,,0,cds-MT_RS00145,,DUF4226 domain-containing protein,MT_RS00145,protein_coding,ID=cds-MT_RS00145;Parent=gene-MT_RS00145;Note=frameshifted;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214539.1;locus_tag=MT_RS00145;product=DUF4226 domain-containing protein;pseudo=true;transl_table=11
CDC1551,NC_002755.2,Protein Homology,CDS,29721,31132,1412,+,,0,cds-MT_RS00150,,DUF4226 domain-containing protein,MT_RS00150,protein_coding,ID=cds-MT_RS00150;Parent=gene-MT_RS00150;Note=frameshifted;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015302351.1;locus_tag=MT_RS00150;product=DUF4226 domain-containing protein;pseudo=true;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,31170,31487,318,+,,,gene-MT_RS00155,MT_RS00155,,MT_RS00155,protein_coding,ID=gene-MT_RS00155;Name=MT_RS00155;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00155;old_locus_tag=MT0030
CDC1551,NC_002755.2,Protein Homology,CDS,31170,31487,318,+,,0,cds-WP_003400401.1,WP_003400401.1,ESX-1 secretion-associated protein,MT_RS00155,protein_coding,ID=cds-WP_003400401.1;Parent=gene-MT_RS00155;Dbxref=GenBank:WP_003400401.1;Name=WP_003400401.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214541.1;locus_tag=MT_RS00155;product=ESX-1 secretion-associated protein;protein_id=WP_003400401.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,31495,31800,306,+,,,gene-MT_RS00160,MT_RS00160,,MT_RS00160,protein_coding,ID=gene-MT_RS00160;Name=MT_RS00160;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00160;old_locus_tag=MT0030.1
CDC1551,NC_002755.2,Protein Homology,CDS,31495,31800,306,+,,0,cds-WP_003400405.1,WP_003400405.1,DUF2694 domain-containing protein,MT_RS00160,protein_coding,ID=cds-WP_003400405.1;Parent=gene-MT_RS00160;Dbxref=GenBank:WP_003400405.1;Name=WP_003400405.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214542.1;locus_tag=MT_RS00160;product=DUF2694 domain-containing protein;protein_id=WP_003400405.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,31805,31948,144,-,,,gene-MT_RS22440,MT_RS22440,,MT_RS22440,protein_coding,ID=gene-MT_RS22440;Name=MT_RS22440;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS22440;old_locus_tag=MT0031
