strain,seqid,source,type,start,end,length,strand,score,phase,gene_id,name,product,locus_tag,gene_biotype,attributes
H37Rv,NC_000962.3,RefSeq,CDS,15590,17470,1881,-,,0,cds-NP_214528.1,NP_214528.1,serine/threonine-protein kinase PknB,Rv0014c,protein_coding,"ID=cds-NP_214528.1;Parent=gene-Rv0014c;Dbxref=GenBank:NP_214528.1,GeneID:887072;Name=NP_214528.1;Note=Belongs to the Ser/Thr family of protein kinases. Experimental studies show evidence of auto-phosphorylation on serine/threonine residues. PknB has been shown to be a substrate for PstP and its kinase activity is affected by PstP-mediated dephosphorylation. PknB and PstP (Rv0018c) may act as a functional pair in vivo to control mycobacterial cell growth.;experiment=COORDINATES:Mass spectrometry[PMID:21969609],DESCRIPTION:Gene expression%2C mutation analysis%2C protein purification and characterization[PMID:21423706],DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:10531215],DESCRIPTION:Protein purification and characterization[PMID:21829358],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21085642],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=pknB;inference=protein motif:PROSITE:PS00108;locus_tag=Rv0014c;product=serine/threonine-protein kinase PknB;protein_id=NP_214528.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,17467,18762,1296,-,,,gene-Rv0015c,pknA,,Rv0015c,protein_coding,ID=gene-Rv0015c;Dbxref=GeneID:885953;Name=pknA;gbkey=Gene;gene=pknA;gene_biotype=protein_coding;locus_tag=Rv0015c
H37Rv,NC_000962.3,RefSeq,CDS,17467,18762,1296,-,,0,cds-NP_214529.1,NP_214529.1,serine/threonine-protein kinase PknA,Rv0015c,protein_coding,"ID=cds-NP_214529.1;Parent=gene-Rv0015c;Dbxref=GenBank:NP_214529.1,GeneID:885953;Name=NP_214529.1;Note=Belongs to the Ser/Thr family of protein kinases. It has been shown that sodium orthovanadate inhibits the activity of the enzyme in vitro.;experiment=DESCRIPTION:Gene expression%2C mutation analysis%2C protein purification and characterization[PMID:21423706],DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:11856348],EXISTENCE:Mass spectrometry[PMID:17443846],EXISTENCE:Mass spectrometry[PMID:21085642];gbkey=CDS;gene=pknA;inference=protein motif:PROSITE:PS00108;locus_tag=Rv0015c;product=serine/threonine-protein kinase PknA;protein_id=NP_214529.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,18759,20234,1476,-,,,gene-Rv0016c,pbpA,,Rv0016c,protein_coding,ID=gene-Rv0016c;Dbxref=GeneID:887078;Name=pbpA;gbkey=Gene;gene=pbpA;gene_biotype=protein_coding;locus_tag=Rv0016c
H37Rv,NC_000962.3,RefSeq,CDS,18759,20234,1476,-,,0,cds-NP_214530.1,NP_214530.1,penicillin-binding protein PbpA,Rv0016c,protein_coding,"ID=cds-NP_214530.1;Parent=gene-Rv0016c;Dbxref=GenBank:NP_214530.1,GeneID:887078;Name=NP_214530.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:16436437],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=pbpA;locus_tag=Rv0016c;product=penicillin-binding protein PbpA;protein_id=NP_214530.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,20231,21640,1410,-,,,gene-Rv0017c,rodA,,Rv0017c,protein_coding,ID=gene-Rv0017c;Dbxref=GeneID:887075;Name=rodA;gbkey=Gene;gene=rodA;gene_biotype=protein_coding;gene_synonym=ftsW;locus_tag=Rv0017c
H37Rv,NC_000962.3,RefSeq,CDS,20231,21640,1410,-,,0,cds-NP_214531.1,NP_214531.1,cell division protein RodA,Rv0017c,protein_coding,"ID=cds-NP_214531.1;Parent=gene-Rv0017c;Dbxref=GenBank:NP_214531.1,GeneID:887075;Name=NP_214531.1;Note=Belongs to the FTSW/RODA/SPOVE family.;gbkey=CDS;gene=rodA;locus_tag=Rv0017c;product=cell division protein RodA;protein_id=NP_214531.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,21637,23181,1545,-,,,gene-Rv0018c,pstP,,Rv0018c,protein_coding,ID=gene-Rv0018c;Dbxref=GeneID:887070;Name=pstP;gbkey=Gene;gene=pstP;gene_biotype=protein_coding;locus_tag=Rv0018c
H37Rv,NC_000962.3,RefSeq,CDS,21637,23181,1545,-,,0,cds-NP_214532.1,NP_214532.1,phosphoserine/threonine phosphatase PstP,Rv0018c,protein_coding,"ID=cds-NP_214532.1;Parent=gene-Rv0018c;Dbxref=GenBank:NP_214532.1,GeneID:887070;Name=NP_214532.1;Note=Experimental studies have shown that PstP specifically dephosporylates model phospho-Ser/Thr substrates and it is likely that PknB (Rv0014c) and PstP may act as a functional pair in vivo to control mycobacterial cell growth.;experiment=DESCRIPTION:Gene expression%2C mutation analysis%2C protein purification and characterization[PMID:21423706],DESCRIPTION:Mutation analysis%2C gene expression%2C protein purification and characterization[PMID:12950916],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=pstP;locus_tag=Rv0018c;product=phosphoserine/threonine phosphatase PstP;protein_id=NP_214532.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,23270,23737,468,-,,,gene-Rv0019c,fhaB,,Rv0019c,protein_coding,ID=gene-Rv0019c;Dbxref=GeneID:887079;Name=fhaB;gbkey=Gene;gene=fhaB;gene_biotype=protein_coding;locus_tag=Rv0019c
H37Rv,NC_000962.3,RefSeq,CDS,23270,23737,468,-,,0,cds-NP_214533.1,NP_214533.1,FHA domain-containing protein FhaB,Rv0019c,protein_coding,"ID=cds-NP_214533.1;Parent=gene-Rv0019c;Dbxref=GenBank:NP_214533.1,GeneID:887079;Name=NP_214533.1;Note=FtsZ-interacting protein A;experiment=DESCRIPTION:Gene expression%2C mutation analysis%2C protein localization[PMID:20066037],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=fhaB;locus_tag=Rv0019c;product=FHA domain-containing protein FhaB;protein_id=NP_214533.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,23861,25444,1584,-,,,gene-Rv0020c,fhaA,,Rv0020c,protein_coding,ID=gene-Rv0020c;Dbxref=GeneID:887067;Name=fhaA;gbkey=Gene;gene=fhaA;gene_biotype=protein_coding;gene_synonym=TB39.8;locus_tag=Rv0020c
H37Rv,NC_000962.3,RefSeq,CDS,23861,25444,1584,-,,0,cds-NP_214534.1,NP_214534.1,FHA domain-containing protein FhaA,Rv0020c,protein_coding,"ID=cds-NP_214534.1;Parent=gene-Rv0020c;Dbxref=GenBank:NP_214534.1,GeneID:887067;Name=NP_214534.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C 2004 PMID:14766927).;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21085642],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=fhaA;locus_tag=Rv0020c;product=FHA domain-containing protein FhaA;protein_id=NP_214534.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,25644,25726,83,+,,,gene-Rvnt03,leuT,,Rvnt03,tRNA,ID=gene-Rvnt03;Dbxref=GeneID:2700444;Name=leuT;gbkey=Gene;gene=leuT;gene_biotype=tRNA;locus_tag=Rvnt03
H37Rv,NC_000962.3,RefSeq,tRNA,25644,25726,83,+,,,rna-Rvnt03,leuT,tRNA-Leu,Rvnt03,protein_coding,ID=rna-Rvnt03;Parent=gene-Rvnt03;Dbxref=GeneID:2700444;Note=leuT%2C tRNA-Leu%2C anticodon cag%2C length %3D 83;anticodon=(pos:25677..25679);codons=19;gbkey=tRNA;gene=leuT;locus_tag=Rvnt03;product=tRNA-Leu
H37Rv,NC_000962.3,RefSeq,gene,25913,26881,969,-,,,gene-Rv0021c,Rv0021c,,Rv0021c,protein_coding,ID=gene-Rv0021c;Dbxref=GeneID:887066;Name=Rv0021c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0021c
H37Rv,NC_000962.3,RefSeq,CDS,25913,26881,969,-,,0,cds-NP_214535.1,NP_214535.1,hypothetical protein,Rv0021c,protein_coding,"ID=cds-NP_214535.1;Parent=gene-Rv0021c;Dbxref=GenBank:NP_214535.1,GeneID:887066;Name=NP_214535.1;gbkey=CDS;locus_tag=Rv0021c;product=hypothetical protein;protein_id=NP_214535.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,27023,27442,420,-,,,gene-Rv0022c,whiB5,,Rv0022c,protein_coding,ID=gene-Rv0022c;Dbxref=GeneID:887071;Name=whiB5;gbkey=Gene;gene=whiB5;gene_biotype=protein_coding;gene_synonym=whmG;locus_tag=Rv0022c
H37Rv,NC_000962.3,RefSeq,CDS,27023,27442,420,-,,0,cds-NP_214536.1,NP_214536.1,transcriptional regulator WhiB5,Rv0022c,protein_coding,"ID=cds-NP_214536.1;Parent=gene-Rv0022c;Dbxref=GenBank:NP_214536.1,GeneID:887071;Name=NP_214536.1;Note=alternate gene name: whmG%2C WhiB-like regulatory protein.;experiment=DESCRIPTION:Gene expression%2C mutation analysis[PMID:22733573],EXISTENCE:Mass spectrometry[PMID:15525680];gbkey=CDS;gene=whiB5;locus_tag=Rv0022c;product=transcriptional regulator WhiB5;protein_id=NP_214536.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,27595,28365,771,+,,,gene-Rv0023,Rv0023,,Rv0023,protein_coding,ID=gene-Rv0023;Dbxref=GeneID:887062;Name=Rv0023;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0023
H37Rv,NC_000962.3,RefSeq,CDS,27595,28365,771,+,,0,cds-NP_214537.1,NP_214537.1,transcriptional regulator,Rv0023,protein_coding,"ID=cds-NP_214537.1;Parent=gene-Rv0023;Dbxref=GenBank:NP_214537.1,GeneID:887062;Name=NP_214537.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0023;product=transcriptional regulator;protein_id=NP_214537.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,28362,29207,846,+,,,gene-Rv0024,Rv0024,,Rv0024,protein_coding,ID=gene-Rv0024;Dbxref=GeneID:887061;Name=Rv0024;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0024
H37Rv,NC_000962.3,RefSeq,CDS,28362,29207,846,+,,0,cds-NP_214538.1,NP_214538.1,NLP/P60 family protein,Rv0024,protein_coding,"ID=cds-NP_214538.1;Parent=gene-Rv0024;Dbxref=GenBank:NP_214538.1,GeneID:887061;Name=NP_214538.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0024;product=NLP/P60 family protein;protein_id=NP_214538.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,29245,29607,363,+,,,gene-Rv0025,Rv0025,,Rv0025,protein_coding,ID=gene-Rv0025;Dbxref=GeneID:887060;Name=Rv0025;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0025
H37Rv,NC_000962.3,RefSeq,CDS,29245,29607,363,+,,0,cds-NP_214539.1,NP_214539.1,hypothetical protein,Rv0025,protein_coding,"ID=cds-NP_214539.1;Parent=gene-Rv0025;Dbxref=GenBank:NP_214539.1,GeneID:887060;Name=NP_214539.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0025;product=hypothetical protein;protein_id=NP_214539.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,29722,31068,1347,+,,,gene-Rv0026,Rv0026,,Rv0026,protein_coding,ID=gene-Rv0026;Dbxref=GeneID:887057;Name=Rv0026;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0026
H37Rv,NC_000962.3,RefSeq,CDS,29722,31068,1347,+,,0,cds-NP_214540.1,NP_214540.1,hypothetical protein,Rv0026,protein_coding,"ID=cds-NP_214540.1;Parent=gene-Rv0026;Dbxref=GenBank:NP_214540.1,GeneID:887057;Name=NP_214540.1;experiment=EXISTENCE:Mass spectrometry[PMID:21085642];gbkey=CDS;locus_tag=Rv0026;product=hypothetical protein;protein_id=NP_214540.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,31189,31506,318,+,,,gene-Rv0027,Rv0027,,Rv0027,protein_coding,ID=gene-Rv0027;Dbxref=GeneID:887054;Name=Rv0027;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0027
H37Rv,NC_000962.3,RefSeq,CDS,31189,31506,318,+,,0,cds-NP_214541.1,NP_214541.1,hypothetical protein,Rv0027,protein_coding,"ID=cds-NP_214541.1;Parent=gene-Rv0027;Dbxref=GenBank:NP_214541.1,GeneID:887054;Name=NP_214541.1;experiment=EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0027;product=hypothetical protein;protein_id=NP_214541.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,31514,31819,306,+,,,gene-Rv0028,Rv0028,,Rv0028,protein_coding,ID=gene-Rv0028;Dbxref=GeneID:885812;Name=Rv0028;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0028
H37Rv,NC_000962.3,RefSeq,CDS,31514,31819,306,+,,0,cds-NP_214542.1,NP_214542.1,hypothetical protein,Rv0028,protein_coding,"ID=cds-NP_214542.1;Parent=gene-Rv0028;Dbxref=GenBank:NP_214542.1,GeneID:885812;Name=NP_214542.1;gbkey=CDS;locus_tag=Rv0028;product=hypothetical protein;protein_id=NP_214542.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,32057,33154,1098,+,,,gene-Rv0029,Rv0029,,Rv0029,protein_coding,ID=gene-Rv0029;Dbxref=GeneID:887053;Name=Rv0029;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0029
